dataset,model,dev_accuracy,test_accuracy,dev_macro_f1,test_macro_f1
enunciation,majority,0.5416666666666666,0.5408333333333334,0.14054054054054055,0.14040021633315306
enunciation,tfidf_logreg_original,0.7575,0.7216666666666667,0.44110643334388905,0.4158666527109064
enunciation,tfidf_logreg_tuned,0.7575,0.7216666666666667,0.44110643334388905,0.4158666527109064
genre,majority,0.19079578139980824,0.19079578139980824,0.02670424047235641,0.02670424047235641
genre,tfidf_logreg_original,0.4333652924256951,0.4419942473633749,0.41439279783939637,0.4172127179992388
genre,tfidf_logreg_tuned,0.4947267497603068,0.5062320230105465,0.4639997511190275,0.4689443434763121
